1999-01-04,412328,481049,382090,398583,4491010
1999-01-05,405455,406830,369720,371094,315110
1999-01-06,364223,382090,354602,354601,1048060
1999-01-07,407517,407517,384839,407517,3325700
1999-01-08,399958,399958,362161,369720,1105840
1999-01-11,361474,389650,344981,364909,1321090
1999-01-12,364910,382090,360099,364222,777710
1999-01-13,369720,372469,353227,355976,542830
1999-01-14,353227,353227,316118,316117,780130
1999-01-15,329862,350478,320241,338108,3363430
1999-01-18,350478,362848,336734,346355,6213280
1999-01-19,349104,350478,333985,347042,3171330
1999-01-20,349791,364223,341545,348416,2297460
1999-01-21,349104,350478,329862,329862,1123620
1999-01-22,324364,336734,318179,322989,1060410
1999-01-25,322990,327113,313369,314743,754580
1999-01-26,329862,335360,316118,316117,1341580
1999-01-27,321615,325739,316118,324364,2742650
1999-01-28,325739,328488,319554,319553,1197530
1999-01-29,319554,342232,319554,335359,1514440
1999-02-01,336734,346355,329862,333985,4406520
1999-02-02,336734,338109,320241,327113,3911220
1999-02-03,329862,336734,322990,327113,5370200
1999-02-04,332611,332611,322990,327113,2607350
1999-02-05,329862,329862,320241,320241,1109770
1999-02-08,322990,327113,307871,307871,961200
1999-02-09,291378,299625,281757,288629,1186800
1999-02-10,288629,293440,278321,290003,823900
1999-02-11,295501,297563,287942,291378,540280
1999-02-12,298250,321615,298250,316117,1137410
1999-02-18,328488,328488,310620,310620,888160
1999-02-19,302374,309246,292065,306496,959890
1999-02-22,295501,303748,295501,298250,494550
1999-02-23,302374,306497,296876,302373,738630
1999-02-24,305122,307871,298250,298250,578790
1999-02-25,295501,301686,292753,296875,531510
1999-02-26,298250,322990,291378,313368,3287510
1999-03-02,316118,324364,309246,313368,1386850
1999-03-03,313369,329862,309246,324364,2839490
1999-03-04,322990,322990,316118,316117,1055580
1999-03-05,314743,322990,310620,318866,973340
1999-03-08,317492,324364,314056,324364,1784040
1999-03-09,324364,325739,316118,316117,904190
1999-03-10,316118,316118,309246,310620,627940
1999-03-11,307871,322990,306497,313368,1666180
1999-03-12,316118,320241,311995,314743,853550
1999-03-15,324364,336734,320241,324364,2243090
1999-03-16,325739,327800,320241,322302,695470
1999-03-17,322990,325739,309246,311307,5795380
1999-03-18,309933,314056,303748,303747,944410
1999-03-19,303748,313369,302374,306496,1092380
1999-03-22,306497,316118,303748,309245,2130990
1999-03-23,313369,320241,311307,316117,1060010
1999-03-24,317492,327113,316118,324364,1719370
1999-03-25,324364,328488,310620,316117,4377110
1999-03-26,318867,319554,313369,319553,1248040
1999-03-29,316118,317492,311995,312681,828680
1999-03-30,313369,322303,309246,314743,6623700
1999-03-31,317492,336047,309246,325738,9548060
1999-04-01,331924,364223,327113,364222,9049310
1999-04-02,364223,371095,353227,357350,5616640
1999-04-06,361474,371095,353914,368345,4867430
1999-04-07,371095,373844,355976,355976,3549370
1999-04-08,329862,340857,325052,334672,5665460
1999-04-09,336734,341545,322303,338108,3743770
1999-04-12,357351,357351,344294,349791,3638430
